manufactor,model,Price,Description,Cre_date,Repub_date,Year,Hand,Gear,capacity_Engine,Engine_type,Km,Test,Color,Prev_ownership,Curr_ownership,Area,City,Pic_num
ניסאן,ניסאן אלתימה,98000.0,"רכב במצב שמור ומעולה בהזדמנות, נהג יחיד ומבוגר נוהג ברכב, טסט לעוד כמעט שנה וצמיגים חדשים, רכב מנהלים עוצמתי ומפנק,",2022-04-08,2022-04-08,2018,2,אוטומטית,2500,בנזין,71500,,לבן פנינה,פרטית,פרטית,ראש העין והסביבה,ראש העין,0
ניסאן,ניסאן ג'וק JUKE,41000.0,למכירה ניסאן ג'וק 2014 יד 2 פרטית 109000 קילומטר שמורה ומטופלתהדגם המפואר 2 צבעיםללא תאונות,2022-04-05,2022-04-05,2014,2,אוטומטית,1600,בנזין,109000,,שחור,פרטית,פרטית,רמלה - לוד,רמלה,0
ניסאן,ניסאן מיקרה,22500.0,רכב שמור ונקי ללא תאונות 104 אלף קילומטר חימום מושבים וחיבור בלוטוס,2022-03-29,2022-03-29,2014,3,ידנית,1200,בנזין,104000,,כחול,פרטית,פרטית,None,משמר השרון,0
ניסאן,ניסאן ג'וק JUKE,1.0,"למכירה ניסאן ג'וק 2014 יד 2 פרטית 108000 קילומטר שמורה ומטופלת4 צמיגים חדשים,מערכת אנדרואיד מסך 9 אינץ,מצלמת רוורס,חיישני רוורס ועוד ללא תאונות לרציניים בלבד!!!",2022-03-15,2022-03-15,2014,2,אוטומטית,1600,בנזין,108000,,שחור,פרטית,פרטית,רמלה - לוד,רמלה,0
ניסאן,ניסאן מיקרה,16000.0,הרכב נוסע מצויין וחסכוני מאוד.עבר עוד בעלות בתוך המשפחה לצורך קבלת תג נכה,2022-01-27,2022-01-27,2012,4,אוטומטית,1200,בנזין,173000,,לבן,פרטית,פרטית,בית שמש והסביבה,בית שמש,0
ניסאן,ניסאן מיקרה,25000.0,"ניסאן מיקרה במצב מצוין - ידיים פרטיות בלבד , שמורה ומטופלת, נהגת יחידה, חסכונית מאוד בדלק ומאוד אמינה.טסט עד יולי 2022.",2021-12-27,2021-12-27,2014,3,אוטומטית,1200,בנזין,129300,,אפור מטאלי,פרטית,פרטית,גדרה יבנה והסביבה,יבנה,0
ניסאן,ניסאן מיקרה,30000.0,רכב 5 דלתות חסכוני בדלק מפנק ואמין מאוד שמור ומטופל בזמן גמיש מעט במחיר לפרטים נוספים חייגו,2023-10-22,2023-10-22,2016,2,אוטומטית,1200,בנזין,165000,,כסוף,פרטית,פרטית,ירושלים והסביבה,ירושלים,0
ניסאן,ניסאן אלמרה,28000.0,"רכב פצצה כל התוספות מסך, מצלמה, קרוז קונטרול עבר לפני חודש טיפול שנתי כולל ברקסים צלחות ורפידות מחיר גמיש",2021-09-12,2021-10-02,2015,3,אוטומטית,1600,בנזין,121000,,לבן,ליסינג,פרטית,ירושלים והסביבה,ירושלים,0
ניסאן,ניסאן מיקרה,72000.0,"ניסאן קשקאי 2017 125,000 קמ, טסט עד פברואר שמור, מבצע רק נסיעות לעבודה במצב מצויין, צמיגים חדשים, מטופל היטב, כיסוי עור למושבים, מערכת מולטימדיה, גמיש במעמד הרכישה",2023-11-25,2023-11-25,2017,2,אוטומטית,1200,בנזין,125000,,לבן,פרטית,פרטית,באר שבע והסביבה,קרית גת,0
ניסאן,ניסאן מיקרה,20.0,רכב אלעלאא שפרעם,2023-08-30,2023-08-30,2015,3,ידנית,1200,בנזין,118000,75,אפור,ליסינג,ליסינג,גליל ועמקים,שפרעם,0
ניסאן,ניסאן מיקרה,34990.0,"ניסאן מיקרה 2017 1.2 80 כ""ס אוט' החל מ-499 ש""ח *טרייד אין (המרה) אטרקטיבי . *ליסינג גמיש. *רכישה באמצעות המחאות (צ'קים). *עד 100% מימון עד- 60 תשלומים. בלו-סקאי אשקלון Outlet רכבי עבודה החל מ-19,900 ש""ח כתובתנו צה""ל 50 אשקלון . *כפוף לאישור הגורם המממן התמונה. להמחשה בלבד . ט.ל.ח",2023-04-02,2023-05-15,2017,1,אוטומטית,1200,בנזין,135000,,לבן שנהב,ליסינג,ליסינג,אשדוד - אשקלון,אשקלון,0
ניסאן,ניסאן נוט,23900.0,ניסאן נוט 2013,2023-06-21,2023-06-21,2013,5,אוטומטית,1100,בנזין,150,,לבן,פרטית,פרטית,ירושלים והסביבה,ירושלים,0
ניסאן,ניסאן מיקרה,25000.0,"רכב במצב טוב, מנוע במצב מעולה!עבר טיפול 15, עובד מהבית בשנתיים האחרונות הרכב בקושי זז מהחנייה, טסט אחרון הוחלף ארבע צמיגים, וכל הדיסקים והרפידות בלמים חדשות ניתן להתגמש במחיר למי שמעוניין לקנות בקרוב!",2023-03-10,2023-03-10,2015,3,אוטומטית,1200,בנזין,155000,,אפור עכבר,חברה,פרטית,חולון - בת ים,חולון,0
ניסאן,ניסאן טידה,12500.0,מנוע וגיר מצוין מזגו עובד קור וחום אחרי טיפול 4 צמיגים חדשים,2022-10-19,2022-10-19,2009,3,אוטומטית,1600,בנזין,20000,,אפור עכבר,פרטית,פרטית,באר שבע והסביבה,באר שבע,0
ניסאן,ניסאן SX 200,75000.0,"קשקאי 1200 טורבו.יד ראשונה.נהגת יחידה.טסט עד ינואר 2024.80500 ק""מ",2023-01-10,2023-01-10,2016,1,אוטומטית,1200,בנזין,80500,,לבן פנינה,פרטית,פרטית,רמת השרון - הרצליה,הרצליה,0
ניסאן,ניסאן ג'וק JUKE,28000.0,"שמור ומיוחד, לבוא לראות ולקחת מתחייב בבדיקה גמיש בקטנה ליד הרכב",2022-08-05,2022-08-04,2011,4,אוטומטית,1600,בנזין,135000,,שחור,פרטית,פרטית,חיפה וחוף הכרמל,חיפה,0
ניסאן,ניסאן מיקרה,32000.0,רכב במצב מעולה! אמין! חסכוני! מתחייבת בבדיקה! קרסו טרייד אין שורק-ראשון לציון!,2022-06-13,2022-06-13,2015,1,אוטומט,1198,בנזין,131000,,כסוף,None,ליסינג,"ראשל""צ והסביבה",ראשון לציון,0
ניסאן,ניסאן ג'וק JUKE,75000.0,,2021-11-22,2021-11-22,2020,1,אוטומטית,1500,בנזין,100000,,לבן,חברה,פרטית,באר שבע והסביבה,באר שבע,0
